,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
long_passing,0.4347711868261849,0.3433004267591176,0.6849949533526107,0.34084984017000186,0.3623319345641083,0.801858800635557,0.41382043483839154,0.5782396604853065,0.585499020962482,0.6027192949179303,1.0,0.6742316652533807,0.3247278738781507,0.30242459326583154,0.3794667212411813,0.4018069272340822,0.3779658234532509,0.5413402857343834,0.04522084091003505,0.5290004055011626,0.06676393254177045,0.5758063075965847,0.4574095935352863,0.5376463268865463,0.4821260736755239,0.6691564092989979,0.4769678968424695,0.44181512384385196,0.49644649718063216,0.4622171225840092,-0.4623505318112694,-0.46517128073536984,-0.2584358716807099,-0.4666381466862379,-0.46785221226187
ball_control,0.44412194896158796,0.4015930859338643,0.8076752408196964,0.7206636539845216,0.5516809032664731,0.8905016437567146,0.7493942126480166,0.9016591903677179,0.7985713293395275,0.7204614918308837,0.6742316652533807,1.0,0.6317492541899263,0.6171580508375852,0.6242118617746887,0.448240547818345,0.5204993578003004,0.7747723867203962,0.06610108558508959,0.6053302377113428,0.029210347100967118,0.7931318606382879,0.3678965879675665,0.2762524447854287,0.7795164236674154,0.771726789324991,0.6830604922472393,0.18965593690876426,0.25347403129405466,0.22198434219453286,-0.7417867332522792,-0.7328668376752989,-0.464225272165145,-0.7353550626733947,-0.7382575228473623
acceleration,0.24376748706356263,0.33794789197333075,0.599094168987518,0.5289966714031223,0.19928570167765855,0.5026152368256679,0.5129339823429508,0.6984195208579645,0.5488392372188977,0.4300527746867775,0.3247278738781507,0.6317492541899263,1.0,0.9049087006118636,0.7693997467742938,0.2726874551531977,0.6202803468320017,0.4764501612163865,0.15829423694585668,0.5208981288723441,-0.20876272384359368,0.5136461151836479,0.10493947899049215,0.02122315634296124,0.5847897000032362,0.46925732057222863,0.4278970203128293,-0.033258275257193846,-0.005241056514100666,0.001913339466909582,-0.4820334227672116,-0.4659357628603837,-0.278483729152522,-0.4683473751248247,-0.4697176715340594
sprint_speed,0.2529743423639998,0.339874502134621,0.5795854294161294,0.5094613427011446,0.2667825793031061,0.49071819433187225,0.49381732842408854,0.6696391867493451,0.5164799176318922,0.39397729775744744,0.30242459326583154,0.6171580508375852,0.9049087006118636,1.0,0.7017607555274018,0.2714637944924473,0.5413664798252171,0.4865565613261504,0.17789393384844043,0.548372819779714,-0.10925774972259293,0.48980773973884983,0.14982408351188184,0.05342536748752615,0.5670028101591288,0.4349142676818809,0.4111175692978235,0.006942447049009196,0.035051634375156654,0.040350022775910405,-0.4985102055461348,-0.4807142677232451,-0.28515988285311367,-0.4849861863208332,-0.48643368417703303
agility,0.23940898576341962,0.2925065587289304,0.5989493824258537,0.5538972931896197,0.06947145049249356,0.5102251147173644,0.5595038020456742,0.7028610239554783,0.6188691906563983,0.5044081807937029,0.3794667212411813,0.6242118617746887,0.7693997467742938,0.7017607555274018,1.0,0.29696534913860917,0.6829656485456067,0.4618763322174345,0.12905560161388466,0.42754831418408995,-0.34723287923740825,0.5541319797663395,0.016827183796209382,-0.04251997261496433,0.5874925147528305,0.557315157343049,0.4410076655043628,-0.12540548549812702,-0.08988641537523424,-0.07952657258160421,-0.3889992528505022,-0.3805136211866007,-0.24385268246391312,-0.38324634104942124,-0.3837566175328743
reactions,0.7709369398655879,0.580359733796386,0.3846870451669671,0.35459662147843557,0.2959675732117433,0.4598740951048526,0.3971021614822844,0.37757312474231686,0.3925623268449247,0.3685026316520272,0.4018069272340822,0.448240547818345,0.2726874551531977,0.2714637944924473,0.29696534913860917,1.0,0.2056512457584557,0.4232244478206832,0.2408128574432365,0.3556317819964248,0.23625437441451863,0.41380616912829504,0.3306340365356014,0.24504358802255954,0.4087863566414711,0.4513657232074139,0.3892197047418244,0.12381859542052111,0.1599685273556713,0.13786675569116053,-0.07444223177539679,-0.0806191139963489,-0.034032870552074046,-0.0790058091611982,-0.07902878737288248
balance,0.15981374472930954,0.20148097410524116,0.5181388699297396,0.39352745020860164,0.07918934525781467,0.46135012836148265,0.41543992555159537,0.5456740511158227,0.4925651976796152,0.429753256328844,0.3779658234532509,0.5204993578003004,0.6202803468320017,0.5413664798252171,0.6829656485456067,0.2056512457584557,1.0,0.35998737403093684,0.1932909031650797,0.39578831639715906,-0.32332769608136186,0.43940875153277714,0.11221863590254817,0.09123448556107865,0.49578382124648135,0.5068197150583948,0.39034928460465435,0.03784648323571264,0.06548923761526972,0.0769661881929198,-0.3863274437835361,-0.3623676426706255,-0.1829768345762612,-0.36391817188075887,-0.3663138463067859
shot_power,0.42799815954780396,0.32542081440069603,0.6568339721014304,0.7277769752039654,0.5414162349723015,0.722346100727035,0.7464575787332,0.7450182546213935,0.6947870862678704,0.6839622183235591,0.5413402857343834,0.7747723867203962,0.4764501612163865,0.4865565613261504,0.4618763322174345,0.4232244478206832,0.35998737403093684,1.0,0.09944092711808623,0.514158557224491,0.17642458323923713,0.8381274609417587,0.366522739708579,0.18964861265013902,0.7061304751751795,0.6464581797386583,0.6798023341601513,0.09465714478335935,0.1563933956989728,0.11839231401382287,-0.5844406519496613,-0.58906232082808,-0.39734856505747906,-0.591609456253376,-0.5937588025107864
jumping,0.26002652670534904,0.17579881049005094,0.021907690024919668,0.009496628645108605,0.2864301324693906,0.060725301771244855,0.023776317254361815,0.009220163542866942,-0.01619796520896508,-0.03243813728145205,0.04522084091003505,0.06610108558508959,0.15829423694585668,0.17789393384844043,0.12905560161388466,0.2408128574432365,0.1932909031650797,0.09944092711808623,1.0,0.24943571982723112,0.26185130652678285,0.013415189952361158,0.27642820931062784,0.19501020659650925,0.05981309668058178,0.018214991409974388,0.058597078888616864,0.19414575266019352,0.18830857426237502,0.1995141602319543,-0.03877863143414471,-0.03794584384867181,-0.015847207926256632,-0.03669828487571633,-0.034665080510490616
stamina,0.32614719048916774,0.2596257368605645,0.5653785827390675,0.3475565030720472,0.4780458992359236,0.6107295736786846,0.38229448840556834,0.5266025025027029,0.4540657401524382,0.4165276741994078,0.5290004055011626,0.6053302377113428,0.5208981288723441,0.548372819779714,0.42754831418408995,0.3556317819964248,0.39578831639715906,0.514158557224491,0.24943571982723112,1.0,0.23688015913831428,0.47614176176847667,0.5419744296056966,0.478769149355096,0.5015047954219523,0.5055716587184923,0.39882859568844226,0.41741432559246533,0.4597070773133835,0.4373707414157235,-0.5536733985523543,-0.542810269809446,-0.31858546418301825,-0.5418724784319895,-0.547140873112605
