,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
ball_control,0.13490676224289735,0.1117734382653287,0.23702258351722363,0.2208368224123142,0.2549754243487161,0.3607884727806509,0.18294402839405477,0.3245138333258925,0.18365210259752326,0.16129229089835967,0.22573286104310636,1.0,0.17603438528431867,0.161586555897897,0.1907950263983073,0.14764512370495206,0.10620780705501413,0.29932282533926535,0.15753908862265942,0.15007226080149366,0.06338175567173655,0.20793356759101403,0.12376052583406583,0.1317767557157951,0.17904072536052335,0.06608281441263472,0.22225010018830213,0.22980135361530749,0.24044531728402369,0.20304179362777305,0.12220987074439157,0.0959874467774564,0.11589669813309805,0.09042085971052405,0.11638599900443317
acceleration,0.22513690426207125,0.2729642325688748,0.030626312232085,-0.0017608851946654682,0.03877390863162642,0.13543347257193952,-0.05649534396846946,0.031470509379177995,-0.029533442981984535,0.041733342795991085,0.20294755453231791,0.17603438528431867,1.0,0.7642942056316596,0.44961474312418204,0.21411597639446472,0.3369844766939445,0.12171544247985745,0.33894728686957465,0.36162711537342573,0.14840724737956285,-0.014202040602347166,0.25437289086058507,0.19587802007364627,0.13572155703756084,0.21405124763543906,0.21299807294727105,0.0011229196759201575,0.00581674055668025,-0.01511605389866571,0.21616254332941345,0.16266798594176382,0.1832709087913737,0.12243370876759581,0.24730852048269578
sprint_speed,0.23897824912066779,0.2619224167726812,0.0031473484204801627,-0.016208899010542656,0.010171595945119571,0.1080610468896797,-0.05963279684651594,0.01933963147341474,-0.041289973457677175,0.027769407621262197,0.17208026816705455,0.161586555897897,0.7642942056316596,1.0,0.4042564575809467,0.23125635874225034,0.3203256375799627,0.1032695309799193,0.34710025197721023,0.38011621078859564,0.1892369187376502,-0.02692776908271621,0.2469908130064582,0.19097557906239573,0.11272954658521309,0.21523640470766342,0.2024699011297368,-0.01931337771363053,-0.017145466689001816,-0.021621718155768008,0.23804551550688002,0.1738836821607186,0.21687879122077325,0.1287398077490606,0.24556012028272683
agility,0.18562677925594948,0.1854131580305651,0.010648692450189609,-0.012730653894974948,0.034038580820347296,0.11805145386666933,-0.06601512241881216,0.032966633330915124,-0.039827939725341176,-0.009968687248597627,0.20952529630113736,0.1907950263983073,0.44961474312418204,0.4042564575809467,1.0,0.17973561582625552,0.41441733028571653,0.10213871700726135,0.3781922676527932,0.31790084830683,-0.005834403970280401,-0.010648133722888949,0.20634115552892787,0.15853866340053455,0.09068484334687188,0.20224380280776436,0.13703372509282313,-0.016960174878369684,0.0028121804462113527,-0.009208809637782837,0.1789901944632125,0.14490434146078213,0.13439209103391567,0.10503341648585304,0.19975813983088847
reactions,0.6346029129334848,0.48260294527681236,0.009389911498688487,0.02160629577809576,0.011923790908847239,0.1598992286168819,0.09339342348655973,0.03955719479329274,0.027477177406774585,0.011815527405865684,0.019474793588137227,0.14764512370495206,0.21411597639446472,0.23125635874225034,0.17973561582625552,1.0,0.06664243865788219,0.08060989241709206,0.3805923205658446,0.02819734648485629,0.34298738347805585,0.028743376792571818,0.14226464412935677,0.0075587784767435304,0.02425811448207781,0.10391251641874191,0.08397092715226388,0.013149430187495073,-0.007902055380502286,0.0328456423857324,0.5424196071334906,0.4941647587247169,0.3568060253781522,0.5095632534497705,0.5632617172560365
balance,0.09512613810934965,0.1360144933273288,0.033038037746249894,0.009778839223678346,0.06519308202482438,0.04484251462828755,-0.09725871108695772,0.02812280026233577,-0.08323352061841084,0.017369948223382312,0.26841576378907844,0.10620780705501413,0.3369844766939445,0.3203256375799627,0.41441733028571653,0.06664243865788219,1.0,0.06776632506688653,0.2850735541453661,0.36601551310428354,0.08764575498293593,-0.0057049531017869795,0.2754386991562421,0.29191714750455194,0.18009340424270123,0.32273227944214866,0.24627833378431443,0.017940965731541598,0.03974713931648543,-0.04771353617065211,0.07941697390777432,0.08581431518234879,0.12674012799794795,0.04619107331990659,0.08423460486505593
shot_power,0.0809493606471353,0.0984467361842091,0.15614637247964705,0.16369203749354522,0.2287378479992041,0.343549534900887,0.15198755690151777,0.21032819834071362,0.12425390161910553,0.13065074432907073,0.20646223334649094,0.29932282533926535,0.12171544247985745,0.1032695309799193,0.10213871700726135,0.08060989241709206,0.06776632506688653,1.0,0.11830435189661347,0.10596557953224255,0.03908793259075238,0.18124427425209505,0.07111742007105977,0.0774301382802227,0.1014898612751199,0.007722059514856082,0.2020526843677074,0.18337428278370033,0.22481215947246241,0.1952538229037233,0.03883427612529988,0.07600639613911984,0.050870843317172905,0.0783869840401747,0.06330663575180934
jumping,0.3873075538654525,0.3382041924569636,-0.0022024686137242775,0.0017526810068943918,0.018928880048403273,0.09413450367835556,-0.042709546463940776,0.01960056705048895,-0.01898636137338818,0.013284499817175268,0.17073550979584237,0.15753908862265942,0.33894728686957465,0.34710025197721023,0.3781922676527932,0.3805923205658446,0.2850735541453661,0.11830435189661347,1.0,0.22941654182025675,0.1577595461925493,-0.008509724621803442,0.19740336014593365,0.1318826249314639,0.08169521176656519,0.1688216643481143,0.15530113828789788,-0.007476504023004873,-0.0020566547017071392,-0.009836746283607967,0.3830978996832095,0.2964201287934387,0.22683733732836203,0.25792121480693936,0.38121801465206756
stamina,0.09407032413605981,0.1795090048803474,-0.05396492391732104,-0.07837002998453195,0.014226897460915232,0.0421948827062524,-0.22311047976646506,-0.04911136161708403,-0.20886903254959122,0.0015605099232947047,0.39631327574217334,0.15007226080149366,0.36162711537342573,0.38011621078859564,0.31790084830683,0.02819734648485629,0.36601551310428354,0.10596557953224255,0.22941654182025675,1.0,0.17320505279378265,-0.1375276480664799,0.46845411370029333,0.43068621834241105,0.23047911282424977,0.3939567865062481,0.3506100398029275,-0.06190068972255155,-0.002920473778221505,-0.10730992014089488,0.056266902327096704,0.11075711839331724,0.09782437953148226,0.05631250502914028,0.054784746280115426
strength,0.24737559968370998,0.13854964596180544,-0.022779866031226913,-0.011878117413516902,-0.0008150242966971289,0.06897255824703706,0.03546016274761298,-0.009284910821395808,0.011672105252545648,0.028243520363166498,-0.01265346794870792,0.06338175567173655,0.14840724737956285,0.1892369187376502,-0.005834403970280401,0.34298738347805585,0.08764575498293593,0.03908793259075238,0.1577595461925493,0.17320505279378265,1.0,-0.016646592009008757,0.24410722628909548,0.05029424600144596,0.0021970173268017097,0.09620371755179462,0.07999461093943298,-0.007686134220418937,-0.03243100415365609,-0.009098495849055522,0.18648460699914032,0.2111387413140367,0.18188668268677144,0.21126731040716024,0.17867714187420136
long_shots,-0.0009130159452175908,-0.002034316967228912,0.7802073903553282,0.7944779259818093,0.6942916522018338,0.15763491769604124,0.6245632675243709,0.7581156063008866,0.6020705390319231,0.37419613283787295,0.25181378764582657,0.20793356759101403,-0.014202040602347166,-0.02692776908271621,-0.010648133722888949,0.028743376792571818,-0.0057049531017869795,0.18124427425209505,-0.008509724621803442,-0.1375276480664799,-0.016646592009008757,1.0,-0.09233709757536043,0.24439841826600114,0.5105417638572763,-0.025422509764482508,0.2959683345991945,0.7917430948900417,0.7350629540748285,0.5833391256263839,0.001661291772744749,-0.013928306724986452,0.005983985062846789,-0.0198100139300838,0.012084468632576725
aggression,0.18358721887332782,0.15128355657140688,-0.0239917226603652,-0.041655926479680014,0.0003214175256418283,0.015441465332258866,-0.16973097419663172,-0.02651264148616388,-0.15434744521336463,-0.008975384619501864,0.3151718613365952,0.12376052583406583,0.25437289086058507,0.2469908130064582,0.20634115552892787,0.14226464412935677,0.2754386991562421,0.07111742007105977,0.19740336014593365,0.46845411370029333,0.24410722628909548,-0.09233709757536043,1.0,0.4040900594009419,0.2020952322695874,0.3997057537476635,0.3378299520755991,-0.04156866816854052,-0.00844956852300797,-0.09863408913629829,0.1128800587915208,0.19163699552037258,0.13245446475385741,0.1696208869683208,0.1274368897618715
interceptions,0.11972802685507297,0.20086475143675273,0.3219981023074985,0.31009710487358827,0.329258557716422,0.01105135611661834,-0.055758794324244944,0.3127069979172326,-0.03871455017949031,0.21265338293320638,0.7685771225046812,0.1317767557157951,0.19587802007364627,0.19097557906239573,0.15853866340053455,0.0075587784767435304,0.29191714750455194,0.0774301382802227,0.1318826249314639,0.43068621834241105,0.05029424600144596,0.24439841826600114,0.4040900594009419,1.0,0.6618881708157418,0.5251715868540843,0.759509874468472,0.3187729869713406,0.34222089054670096,0.06453512350607467,0.0666150763797042,0.14020422104423536,0.1274121388072481,0.09906845497381615,0.08361206279563545
